Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,modularity_class
AntiVolgers,AntiVolgers,,0,541,2,5,7,2,6,8,2,0.666667,0.75,2234.209524,0.000072,0.01407,0.000376,0,0.012136,3
diederikebbinge,diederikebbinge,,0,306,2,0,2,2,0,2,0,0,0,0,0.003198,0,0.000573,0.5,0.008637,1
saskianoort,saskianoort,,0,977,3,0,3,3,0,3,0,0,0,0,0.003288,0,0.000258,0,0.006793,1
GVerbaan,GVerbaan,,0,398,6,0,6,6,0,6,0,0,0,0,0.011601,0,0.000318,0.066667,0.015044,1
rebelzzzz1,rebelzzzz1,,0,302,1,2,3,1,2,3,1,1,1,2,0.003211,0.002578,0.000164,0.166667,0.003334,1
WNCKL,WNCKL,,0,1352,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.000087,0.000143,0,0,2
JaapBeetstra,JaapBeetstra,,0,1354,2,3,5,2,3,5,16,0.111207,0.121113,3,0.001755,0.006343,0.000232,0.2,0.004067,0
karenv640,karenv640,,0,1353,3,0,3,3,0,3,0,0,0,0,0.002073,0,0.000298,0.333333,0.006852,0
wwwervelwind,wwwervelwind,,0,1355,0,4,4,0,4,4,1,1,1,0,0,0.012835,0.000143,0,0,2
StellaQuasten,StellaQuasten,,0,395,2,0,2,2,0,2,0,0,0,0,0.001554,0,0.000201,0,0.004704,2
Albert_Zwol,Albert_Zwol,,0,1356,0,4,4,0,4,4,16,0.108874,0.129106,0,0,0.009394,0.000143,0,0,1
Eaglehaslanded0,Eaglehaslanded0,,0,880,4,28,32,4,29,33,14,0.176273,0.233168,3123.888889,0.003331,0.033196,0.000194,0.029234,0.007732,1
Erwin3e,Erwin3e,,0,1357,2,2,4,2,2,4,1,1,1,4,0.00016,0.010184,0.000235,0,0.003606,0
bil670720,bil670720,,0,1358,0,2,2,0,2,2,17,0.116159,0.139898,0,0,0.000383,0.000143,0,0,2
Heerbean,Heerbean,,0,634,7,6,13,7,6,13,16,0.130998,0.168709,21108.913356,0.005209,0.056594,0.000399,0.032051,0.014821,1
unionseller,unionseller,,0,1359,0,2,2,0,4,4,15,0.124054,0.135551,0,0,0.00928,0.000143,0.5,0,0
silvahotje,silvahotje,,0,1373,3,15,18,3,19,22,14,0.139883,0.181538,1988.568254,0.000871,0.05621,0.000245,0.045752,0.005409,3
GroenRECHTS10,GroenRECHTS10,,0,1372,3,25,28,3,32,35,13,0.141489,0.177657,2353.845238,0.003805,0.07936,0.00019,0.009259,0.006793,2
hollandswiefke,hollandswiefke,,0,113,1,2,3,1,2,3,2,0.666667,0.75,2191.870635,0,0.000243,0.000763,0,0.016514,2
Tijluilenspieg2,Tijluilenspieg2,,0,1374,0,2,2,0,2,2,20,0.082647,0.098974,0,0,0.040462,0.000143,0,0,1
Baelwynn,Baelwynn,,0,1375,0,2,2,0,2,2,1,1,1,0,0,0.005102,0.000143,0,0,2
suzi_1960,suzi_1960,,0,1216,2,0,2,3,0,3,0,0,0,0,0.000172,0,0.000262,0.5,0.004067,1
rieln,rieln,,0,131,2,0,2,3,0,3,0,0,0,0,0.001572,0,0.000185,1,0.009738,2
GerVerhoeven89,GerVerhoeven89,,0,130,3,0,3,6,0,6,0,0,0,0,0.002413,0,0.000202,0.5,0.013073,2
