Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,clustering,eigencentrality
VesperVespero,VesperVespero,,0,3022,0,2,2,0,2,2,3,0.52381,0.575758,0,0,0.006514,5,0.000113,0,0
hillbillynl,hillbillynl,,0,3006,1,0,1,1,0,1,0,0,0,0,0.000188,0,1,0.000127,0,0.001911
FLP05480448,FLP05480448,,0,3023,0,2,2,0,2,2,1,1,1,0,0,0.002571,4,0.000113,0.5,0
Ellenv_H,Ellenv_H,,0,175,1,1,2,1,1,2,1,1,1,0,0.001686,0.002276,0,0.000138,0.5,0.004233
TheotenHove2,TheotenHove2,,0,3024,0,1,1,0,1,1,1,1,1,0,0,0.006854,0,0.000113,0,0
AhobNiels,AhobNiels,,0,3005,2,8,10,2,8,10,19,0.100771,0.132988,162.733333,0.001691,0.010813,0,0.000132,0.077778,0.003822
vanderkuijl29,vanderkuijl29,,0,3025,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.000056,1,0.000113,0,0
MadMax_010,MadMax_010,,0,3026,0,2,2,0,2,2,1,1,1,0,0,0.004128,3,0.000113,0,0
Hamerslagen,Hamerslagen,,0,3027,0,2,2,0,2,2,1,1,1,0,0,0.010439,4,0.000113,0,0
JaapFriso,JaapFriso,,0,2955,1,0,1,1,0,1,0,0,0,0,0.000019,0,0,0.000137,0,0.001911
Mediavoon,Mediavoon,,0,3028,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.013337,0,0.000113,0,0
RikOerlemans,RikOerlemans,,0,3029,0,2,2,0,2,2,25,0.080535,0.098432,0,0,0.024042,0,0.000113,0,0
dutcharrow,dutcharrow,,0,3030,0,3,3,0,3,3,3,0.545455,0.611111,0,0,0.006511,5,0.000113,0.166667,0
Lizzivnimwegen,Lizzivnimwegen,,0,3032,0,2,2,0,2,2,1,1,1,0,0,0.000001,5,0.000113,0,0
ZijWel,ZijWel,,0,3031,1,0,1,1,0,1,0,0,0,0,0,0,5,0.000161,0,0.001911
TheHeinz64,TheHeinz64,,0,3033,0,3,3,0,3,3,1,1,1,0,0,0.012627,4,0.000113,0,0
Lawrence_Q,Lawrence_Q,,0,3035,0,3,3,0,3,3,1,1,1,0,0,0.000907,1,0.000113,0,0
CryptoJohn,CryptoJohn,,0,3034,1,0,1,1,0,1,0,0,0,0,0.000045,0,1,0.000145,0,0.001911
Duivenfan88,Duivenfan88,,0,3042,1,8,9,1,8,9,4,0.590909,0.762821,10,0.000884,0.000565,0,0.000115,0.027778,0.001911
klitamnestra,klitamnestra,,0,626,2,0,2,2,0,2,0,0,0,0,0.000171,0,0,0.000137,0,0.00431
TweepDutch,TweepDutch,,0,3043,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.003691,4,0.000113,0,0
gitaarjulian,gitaarjulian,,0,3044,0,1,1,0,1,1,1,1,1,0,0,0.001085,1,0.000113,0,0
