index,tweet_id,username,text,tweet_source,tweet_source_link,rt_count,fav_count,clean_text
9866,1467206008057602057,FG55949117,"RT @Eeuwigejeugd1: #piemel #Utrecht #Utrecht4december #vaccinatieplicht #VaccinePassports #BoosterVaccinatie #kozp #pakjesavond 
https://t.…",Twitter for iPad,http://twitter.com/#!/download/ipad,1,0,"['piemel', 'utrecht', 'utrecht4december', 'vaccinatieplicht', 'vaccinepassports', 'boostervaccinatie', 'kozp', 'pakjesavond']"
9872,1467205919184465921,ph1160,"RT @rallyjef2: Tring tring, hallo met #kozp mogen wij u touringbus boeken voor dit jaar.

Tuut tuur tuut..hallo bent u daar nog?

#volendam",Twitter Web App,https://mobile.twitter.com,6,0,"['tring', 'tring', 'hallo', 'kozp', 'mogen', 'wij', 'touringbus', 'boeken', 'jaar', 'tuut', 'tuur', 'tuut', 'hallo', 'bent', 'volendam']"
9877,1467205880571695116,verwilderd,RT @Rosinant_: @EllenDG1975 KOZP moet het sluimerend racisme blijven aanwakkeren. Antiracisme is een broodwinning voor sommigen.,Twitter Web App,https://mobile.twitter.com,1,0,"['kozp', 'sluimerend', 'racisme', 'blijven', 'aanwakkeren', 'antiracisme', 'broodwinning', 'sommigen']"
9894,1467205674123808768,Nelliejs501,RT @mckussen: @Mirjam152 Opzouten dat kozp...hier in 010 zeggen we KotsOpJePleurismuil!,Twitter for Android,http://twitter.com/download/android,1,0,"['opzouten', 'kozp', '010', 'zeggen', 'we', 'kotsopjepleurismuil']"
9897,1467205661570355212,Original_Uppie,"RT @Ilove_hollandia: Geweldig ! Helden !

KOZP-demonstranten bekogeld, overgebracht naar veilige locatie
https://t.co/mFjoC3MLBf",Twitter Web App,https://mobile.twitter.com,1,0,"['geweldig', 'helden', 'kozp', 'demonstranten', 'bekogeld', 'overgebracht', 'veilige', 'locatie']"
9901,1467205617651789832,BarryRight2,"RT @BarryRight2: @kozp

  : ""ZOHETWASLEUKGEWEEST, NU TERUG IN JULLIEHOK"": #lockdown !
""'theerlijkavondjeisgekomen""!!
@D66

@NPO
 
@NOS
 
@s…",Twitter Web App,https://mobile.twitter.com,1,0,"['zohetwasleukgeweest', 'terug', 'julliehok', 'lockdown', 'theerlijkavondjeisgekomen', 's']"
9907,1467205541227335686,BarryRight2,"RT @BarryRight2: ""'THEERLIJKAVONDJEISGEKOMEN"" !!

#SINTERKLAAS MET NIEUWE PIETENBRIL !

#kozp

https://t.co/RHBaTDL5S6 https://t.co/Bt3wdel…",Twitter Web App,https://mobile.twitter.com,1,0,"['theerlijkavondjeisgekomen', 'sinterklaas', 'nieuwe', 'pietenbril', 'kozp']"
9926,1467205299962626052,astrid0519,"RT @WMPost: @BartNijman Zo werkt, het je provoceert en als je tegenreactie krijgt, roepen 'heb je hem gefilmd'! Opruien en verstoren van op…",Twitter for Android,http://twitter.com/download/android,2,0,"['werkt', 'provoceert', 'tegenreactie', 'krijgt', 'roepen', 'gefilmd', 'opruien', 'verstoren']"
9951,1467204918071209992,010wijk11,"RT @Jes22857720: @Sully53609528 @JeannetteWezen1 @NOS Ik geloof dat #kozp de Volendammers belaagde toen ze , ze valselijk beschuldigde door…",Twitter for iPhone,http://twitter.com/download/iphone,1,0,"['geloof', 'kozp', 'volendammers', 'belaagde', 'valselijk', 'beschuldigde']"
9970,1467204696234418185,lizzielizzie003,RT @WaalsChris: Wel een zwartepiet tussen hun benen deze stink hoeren 🤢🤮,Twitter for iPad,http://twitter.com/#!/download/ipad,3,0,"['wel', 'zwartepiet', 'tussen', 'benen', 'stink', 'hoeren']"
9986,1467204540537741312,Oscarus,"RT @ultrassnl: Video: KOZP op de loop in Maastricht zojuist. 300+ MVV aanwezig bij protest KOZP. 15.11.2020!

#ultrassnl #mvv #maastricht #…",Twitter for iPhone,http://twitter.com/download/iphone,257,0,"['video', 'kozp', 'loop', 'maastricht', 'zojuist', '300', 'mvv', 'aanwezig', 'protest', 'kozp', '15', '11', '2020', 'ultrassnl', 'mvv', 'maastricht']"
9991,1467204511366320131,avonturix,RT @Lalamyth: @fampoes Komen daar effe aan in touringcars om het volk zwaar te beledigen! Kozp denkt met alles weg te blijven komen! Nét go…,Twitter for Android,http://twitter.com/download/android,2,0,"['komen', 'effe', 'touringcars', 'volk', 'zwaar', 'beledigen', 'kozp', 'denkt', 'weg', 'blijven', 'komen', 'n', 't', 'go']"
9995,1467204457595342848,Muziekschuur,RT @DutchDL: Volendam! Wegwezen KOZP!! Oprotten! https://t.co/J3vvyCV4zu,Twitter for iPhone,http://twitter.com/download/iphone,1,0,"['volendam', 'wegwezen', 'kozp', 'oprotten']"
10013,1467204270969741315,gedoei,"RT @ladybugstwee_d_: Moslims eisen, BLM’ers eisen, KOZP eist, asielzoekers eisen…😡

Misschien moeten wij ons Nederland met zijn traditie’s…",Twitter for iPad,http://twitter.com/#!/download/ipad,51,0,"['moslims', 'eisen', 'blm', 'ers', 'eisen', 'kozp', 'eist', 'asielzoekers', 'eisen', 'misschien', 'moeten', 'wij', 'nederland', 'traditie', 's']"
10038,1467204086558859266,Yani48935270,"RT @radioKorenwolf: Kan @ferdgrapperhaus  dat agressieve  #kozp  niet aanmerking als een illegale terreur groep, want zo gedragen ze zich w…",Twitter for iPhone,http://twitter.com/download/iphone,1,0,"['agressieve', 'kozp', 'aanmerking', 'illegale', 'terreur', 'groep', 'gedragen', 'w']"
10048,1467203927078748167,Muziekschuur,RT @nadadictator: Opzouten met KOZP https://t.co/yweDkJPKgn,Twitter for iPhone,http://twitter.com/download/iphone,1,0,"['opzouten', 'kozp']"
10084,1467203371362926601,PakjeShag,"RT @salvatore1976cs: #Sinterklaas in Amsterdam, 1986. Inclusiever kan niet😎❤️
Met je #kozp https://t.co/vKici8WjPR",Twitter for iPhone,http://twitter.com/download/iphone,1,0,"['sinterklaas', 'amsterdam', '1986', 'inclusiever', 'kozp']"
10092,1467203254798983170,P33rd,"RT @reindevries76: De werkelijke reden dat dit soort clubs veel aandacht en steun krijgen van media en de ""filantropische"" elite is omdat h…",Twitter Web App,https://mobile.twitter.com,3,0,"['werkelijke', 'reden', 'soort', 'clubs', 'aandacht', 'steun', 'krijgen', 'media', 'filantropische', 'elite', 'h']"
10095,1467203159009501193,pverbeeck2,RT @babelaer: #volendam #kozp https://t.co/xDmzxxYh72,Twitter Web App,https://mobile.twitter.com,3,0,"['volendam', 'kozp']"
