clean_text_string,modularity_class
hoeveel subsidie weer gekregen idiote optreden volendam heerlijk eieren oliebollen nie oliebol kozp check out jou achtergrond slavendrijvers,1
3 vaccins liggen gratis halen incl booster wnlopzondag check ff onderstaand statistiek vaccinatieschade vaccinatie vaccinatiedwang vaccinatieplicht rivm volendam kozp koffie coronadebat nieuwsuur boostervaccinatie,1
toppers volendam gang kozp akwasi airfryer opgefikkerd,1
doodleuk uitgenodigd programma trap zwarte piet hoogstpersoonlijk gezicht akwasi airfryer volendam kozp geef gewoon un frikandel speciaal flapdrollen kozp,1
bus huren kost knaken werkeloze lamzakken bus alleen profiteurs maatschappij geweldig optreden onze volendammers lamlendige gesubsidieerde gasten oliebollen amp eieren huis sturen kozp volendam hatsieflats,1
heerlijk toppers volendam kick out kozp volendam deugers kijken jullie mee woke deugers waar trouwens akwasi zat nie buske,1
geweldig wel zonde oliebollen volendam kozp,1
verboden kozp demonstratie illegaal volendam denk slapende ezel bovenkamer,1
beste stinkende dubbele moraal waarom hoorden wij vreedzame betogers teg,2
zag even beelden terug volendam gisteren kots echt kozp volendam opgelost e,2
toestemming demonstratie provocatie kozp hoopte,2
indruk onttrekken waarop kozp zodat,2
demonstratie kozp puur provocatie schorum,2
mensen deugers janken kozp volendam gebeurt zelfde groep mensen staan juichen,2
volendamse vrouw kind belaagd kozp activiste megafoon minder 1,2
wtf wij belastingbetalers betalen stumperds demonstreren overheidsgeld geld moeten gaan d,2
sylvana simons noemt schreeuwen megafoon gezicht vrouw vreedzaam aantal videos nam,2
tja kozp doe dom stormt bus scheld mensen racist schreeuwt vrouw h,2
hallo bedoelt zooitje ongeregelde subsidie slurpers kozp vreters nooit gewerkt even dimmen blok,2
goed vragen erom,2
i only see violent demonstrators kozp volendam,2
vandaar fascisten kozp staart tussen benen vertrokken haha,2
volendam verjaagt anti blanke terroristen kozp via,2
ftfy mevrouw mag echt hoge onderscheiding krijgen hoor maak kennis heldin,2
hoort elk geval jou rascistische clubje kozp anne fait tout reden geblokt loeder zouden moeten,2
mevrouw betty v boel racistische uitlatingen staan werkt marine volgens dorus gezond,2
